city,population,vc,vcPC,vcRank,murder,murderPC,murderRank,rape,rapePC,rapeRank,rapetwo,rapetwoPC,rapetwoRank,robbery,robberPC,robberyRank,agassault,agassaultPC,agassaultRank,pc,pcPC,pcRank,burglary,burglaryPC,burglaryRank,larceny,larcenyPC,larcenyRank,mvtheft,mvtheftPC,mvtheftRank,arson,arsonPC,arsonRank
Forks,3759,17,452,20,0,0,113,4,106,7,,0,98,1,27,92,12,319,15,100,2660,92,22,585,79,77,2048,88,1,27,166,0,0,145
Gig Harbor,8724,27,309,39,0,0,113,1,11,113,,0,98,9,103,24,17,195,41,470,5387,27,85,974,34,362,4149,18,23,264,73,3,34,23
Goldendale,3433,14,408,24,0,0,113,2,58,34,,0,98,2,58,54,10,291,21,202,5884,13,40,1165,19,150,4369,15,12,350,54,6,175,1
Grand Coulee,1056,2,189,77,0,0,113,0,0,154,,0,98,1,95,33,1,95,92,60,5682,18,23,2178,1,31,2936,53,6,568,20,1,95,4
Grandview,11201,15,134,100,1,9,11,2,18,94,,0,98,3,27,91,9,80,104,203,1812,135,60,536,89,124,1107,140,19,170,104,0,0,145
Granger,3430,4,117,120,0,0,113,0,0,154,,0,98,2,58,53,2,58,120,89,2595,94,28,816,51,47,1370,126,14,408,40,0,0,145
Hoquiam,8307,14,169,83,0,0,113,1,12,111,,0,98,2,24,96,11,132,61,278,3347,73,57,686,71,206,2480,70,15,181,97,0,0,145
Ilwaco,898,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,14,1559,147,2,223,159,8,891,156,4,445,34,0,0,145
Issaquah,34999,10,29,165,0,0,113,0,0,154,,0,98,9,26,95,1,3,156,1082,3092,80,110,314,141,918,2623,65,54,154,112,1,3,103
Kalama,2349,3,128,108,0,0,113,1,43,55,,0,98,0,0,158,2,85,100,33,1405,153,7,298,145,21,894,154,5,213,84,0,0,145
Kelso,11756,70,595,8,0,0,113,15,128,2,,0,98,12,102,26,43,366,9,597,5078,33,81,689,70,462,3930,25,54,459,31,4,34,24
Kenmore,22176,14,63,151,0,0,113,,0,154,9,41,7,3,14,116,2,9,152,323,1457,152,92,415,123,198,893,155,33,149,118,6,27,34
Kennewick,78214,155,198,75,3,4,31,42,54,41,,0,98,24,31,84,86,110,76,2223,2842,86,348,445,117,1760,2250,81,115,147,119,29,37,18
Kent,127259,338,266,48,5,4,30,61,48,46,,0,98,144,113,23,128,101,86,6169,4848,38,905,711,66,4257,3345,40,1007,791,12,19,15,64
Kettle Falls,1590,2,126,110,0,0,113,0,0,154,,0,98,2,126,18,0,0,171,31,1950,130,6,377,128,22,1384,125,3,189,93,0,0,145
Kirkland,87040,77,88,136,0,0,113,21,24,83,,0,98,16,18,108,40,46,133,1747,2007,128,277,318,139,1351,1552,113,119,137,123,11,13,77
Kittitas,1425,1,70,148,0,0,113,0,0,154,,0,98,0,0,158,1,70,111,9,632,178,2,140,170,7,491,176,0,0,179,0,0,145
La Center,3134,1,32,161,0,0,113,0,0,154,,0,98,1,32,81,0,0,171,31,989,169,2,64,176,26,830,164,3,96,140,0,0,145
Lacey,46193,97,210,73,0,0,113,22,48,47,,0,98,27,58,52,48,104,82,1667,3609,64,266,576,81,1262,2732,61,139,301,60,11,24,42
Lake Forest Park,13327,8,60,152,0,0,113,1,8,120,,0,98,3,23,97,4,30,142,296,2221,116,71,533,92,211,1583,111,14,105,135,0,0,145
Lake Stevens,30815,65,211,72,0,0,113,10,32,72,,0,98,6,19,106,49,159,51,660,2142,122,103,334,138,490,1590,110,67,217,83,3,10,90
Lakewood,59958,414,690,4,0,0,113,43,72,21,,0,98,90,150,12,281,469,4,2656,4430,49,537,896,42,1865,3111,47,254,424,36,13,22,47
Liberty Lake,8911,3,34,160,0,0,113,1,11,114,,0,98,1,11,119,1,11,151,138,1549,148,41,460,112,81,909,153,16,180,99,0,0,145
Long Beach,1335,2,150,92,0,0,113,1,75,17,,0,98,0,0,158,1,75,107,46,3446,69,10,749,61,32,2397,77,4,300,63,0,0,145
Longview,36401,142,390,30,1,3,35,27,74,18,,0,98,35,96,30,79,217,35,1896,5209,30,359,986,28,1394,3830,28,143,393,41,20,55,8
Lynden,13464,12,89,135,0,0,113,2,15,105,,0,98,3,22,98,7,52,125,138,1025,168,25,186,165,112,832,163,1,7,172,0,0,145
Lynnwood,36885,81,220,65,1,3,36,5,14,109,,0,98,34,92,36,41,111,74,2162,5861,14,187,507,100,1822,4940,11,153,415,38,2,5,98
Mabton,2302,3,130,107,0,0,113,0,0,154,,0,98,1,43,70,2,87,97,29,1260,160,4,174,166,23,999,147,2,87,148,0,0,145
Maple Valley,25741,23,89,134,0,0,113,,0,154,10,39,8,2,8,123,11,43,136,446,1733,141,109,423,120,314,1220,133,23,89,145,7,27,33
Marysville,66374,112,169,82,0,0,113,18,27,78,,0,98,28,42,72,66,99,89,2427,3657,63,338,509,99,1764,2658,64,325,490,29,15,23,44
Mattawa,4612,4,87,138,0,0,113,3,65,26,,0,98,1,22,99,0,0,171,23,499,181,4,87,175,14,304,182,5,108,132,0,0,145
Medina,3243,1,31,163,0,0,113,0,0,154,,0,98,0,0,158,1,31,141,75,2313,108,8,247,153,63,1943,92,4,123,128,0,0,145
Mercer Island,24737,5,20,169,0,0,113,2,8,119,,0,98,1,4,130,2,8,154,545,2203,118,83,336,137,444,1795,101,18,73,153,4,16,57
Mill Creek,19441,21,108,122,1,5,21,2,10,116,,0,98,6,31,83,12,62,117,391,2011,127,72,370,130,281,1445,120,38,195,88,4,21,52
Milton,7420,9,121,115,0,0,113,0,0,154,,0,98,1,13,117,8,108,79,249,3356,72,36,485,104,191,2574,68,22,296,65,0,0,145
Monroe,18046,68,377,33,1,6,19,8,44,53,,0,98,16,89,38,43,238,34,752,4167,52,55,305,144,615,3408,38,82,454,32,0,0,145
Montesano,3834,3,78,142,0,0,113,1,26,81,,0,98,2,52,62,0,0,171,65,1695,142,11,287,149,54,1408,122,0,0,179,1,26,36
Morton,1115,3,269,46,0,0,113,0,0,154,,0,98,0,0,158,3,269,26,21,1883,131,9,807,54,12,1076,144,0,0,179,0,0,145
Moses Lake,22026,110,499,16,1,5,26,20,91,13,,0,98,29,132,17,60,272,24,1557,7069,9,269,1221,16,1127,5117,10,161,731,15,3,14,70
Mossyrock,742,2,270,45,0,0,113,0,0,154,,0,98,0,0,158,2,270,25,10,1348,156,3,404,125,6,809,165,1,135,125,0,0,145
Mountlake Terrace,21051,32,152,91,1,5,24,2,10,117,,0,98,15,71,47,14,67,114,568,2698,90,108,513,97,374,1777,102,86,409,39,1,5,99
Mount Vernon,33474,73,218,66,1,3,34,13,39,64,,0,98,26,78,43,33,99,90,1394,4164,53,205,612,77,1102,3292,43,87,260,74,5,15,63
Moxee,3871,3,77,143,0,0,113,1,26,82,,0,98,0,0,158,2,52,126,27,697,177,4,103,173,19,491,177,4,103,136,1,26,38
Mukilteo,21171,27,128,109,0,0,113,2,9,118,,0,98,6,28,90,19,90,95,570,2692,91,120,567,84,398,1880,96,52,246,77,2,9,91
Napavine,1782,1,56,154,0,0,113,0,0,154,,0,98,0,0,158,1,56,122,17,954,171,4,224,158,12,673,170,1,56,158,0,0,145
Newcastle,11413,2,18,170,0,0,113,,0,154,1,9,11,0,0,158,1,9,153,265,2322,107,84,736,65,146,1279,129,35,307,58,0,0,145
Normandy Park,6682,5,75,145,0,0,113,1,15,103,,0,98,2,30,86,2,30,143,146,2185,119,31,464,111,105,1571,112,10,150,117,0,0,145
North Bend,6779,5,74,146,0,0,113,1,15,106,,0,98,2,30,88,2,30,144,243,3585,65,20,295,146,216,3186,45,7,103,137,0,0,145
Oak Harbor,22336,20,90,132,0,0,113,5,22,85,,0,98,4,18,109,11,49,129,246,1101,166,46,206,162,193,864,161,7,31,162,1,4,100
Oakville,658,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,25,3799,62,10,1520,6,14,2128,86,1,152,115,0,0,145
Ocean Shores,5638,12,213,70,0,0,113,1,18,95,,0,98,1,18,110,10,177,45,133,2359,104,55,976,33,72,1277,130,6,106,134,0,0,145
Odessa,858,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,4,466,182,0,0,182,4,466,179,0,0,179,0,0,145
Olympia,49875,203,407,25,0,0,113,26,52,43,,0,98,46,92,35,131,263,28,2309,4630,44,406,814,53,1692,3392,39,211,423,37,6,12,81
Omak,4847,11,227,62,0,0,113,2,41,58,,0,98,2,41,74,7,144,57,262,5405,26,51,1052,22,194,4002,22,17,351,53,1,21,51
Oroville,1676,7,418,22,0,0,113,0,0,154,,0,98,0,0,158,7,418,5,85,5072,34,23,1372,9,59,3520,35,3,179,101,0,0,145
Orting,7401,11,149,93,0,0,113,2,27,79,,0,98,3,41,76,6,81,103,93,1257,161,18,243,155,65,878,157,10,135,124,1,14,71
Othello,7785,20,257,50,0,0,113,3,39,65,,0,98,5,64,48,12,154,54,309,3969,58,54,694,68,225,2890,54,30,385,42,3,39,16
Pacific,7199,9,125,111,0,0,113,3,42,56,,0,98,4,56,57,2,28,145,126,1750,139,21,292,147,69,958,150,36,500,27,1,14,69
Pasco,70458,159,226,63,3,4,27,23,33,71,,0,98,40,57,56,93,132,62,1493,2119,123,302,429,119,1064,1510,116,127,180,98,31,44,13
Port Angeles,19304,90,466,18,0,0,113,21,109,6,,0,98,12,62,51,57,295,20,1092,5657,19,189,979,31,831,4305,16,72,373,45,6,31,29
Port Orchard,13535,68,502,15,0,0,113,15,111,4,,0,98,10,74,44,43,318,16,781,5770,16,125,924,36,618,4566,12,38,281,69,2,15,67
Port Townsend,9288,34,366,34,0,0,113,4,43,54,,0,98,2,22,100,28,301,19,256,2756,88,71,764,58,180,1938,93,5,54,159,2,22,48
Poulsbo,9809,9,92,129,0,0,113,0,0,154,,0,98,2,20,103,7,71,110,351,3578,67,55,561,85,279,2844,57,17,173,102,0,0,145
Prosser,5817,7,120,116,0,0,113,1,17,97,,0,98,1,17,111,5,86,99,106,1822,134,18,309,142,77,1324,127,11,189,92,0,0,145
Pullman,32174,33,103,125,1,3,33,7,22,86,,0,98,5,16,113,20,62,116,276,858,173,93,289,148,174,541,175,9,28,165,1,3,102
Puyallup,39645,107,270,44,3,8,12,13,33,70,,0,98,40,101,27,51,129,64,2734,6896,10,349,880,44,2175,5486,7,210,530,23,13,33,26
Quincy,7499,23,307,40,0,0,113,3,40,61,,0,98,4,53,60,16,213,37,380,5067,35,124,1654,3,229,3054,48,27,360,49,1,13,73
Raymond,2765,4,145,94,0,0,113,0,0,154,,0,98,1,36,78,3,108,78,50,1808,136,13,470,108,32,1157,137,5,181,96,0,0,145
Reardan,543,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,11,2026,124,4,737,64,5,921,152,2,368,47,0,0,145
Redmond,60542,64,106,124,0,0,113,9,15,104,,0,98,18,30,87,37,61,118,1796,2967,84,233,385,127,1495,2469,71,68,112,131,5,8,93
Renton,100015,300,300,41,4,4,29,41,41,59,,0,98,100,100,28,155,155,53,5795,5794,15,1175,1175,18,3715,3714,31,905,905,7,6,6,97
Richland,54218,75,138,96,0,0,113,16,30,76,,0,98,6,11,120,53,98,91,1368,2523,96,228,421,121,1092,2014,89,48,89,146,6,11,84
Ridgefield,6510,5,77,144,0,0,113,1,15,101,,0,98,1,15,114,3,46,132,104,1598,145,22,338,135,76,1167,136,6,92,143,1,15,62
